"Longitude","Latitude"
-39.4,-14.683333
-39.681667,-14.757778
-42.887778,-22.869722
-49.2301,-25.453
-52.373361,-24.04925
-44.2347,-22.9976
-41.996944,-22.753889
-43.163056,-22.963333
-43.161667,-22.963611
-39.488889,-14.273056
-39.483889,-14.273056
-39.483889,-14.273056
-46.671521,-23.578912
-42.8425,-22.896944
-42.8425,-22.896944
-42.8425,-22.896944
-42.8425,-22.896944
-42.842222,-22.896667
-39.721944,-15.1475
-51.937222,-23.403611
-35.168256,-5.871819
-46.630833,-23.4625
-46.630833,-23.4625
-46.786556,1.056722
-43.103889,-22.950833
-43.077778,-22.918056
-37.03148,-10.529179
-42.988889,-22.826389
-56.457005,-21.03591
-43.116667,-22.944167
-46.616667,-23.429444
-43.115556,-22.940278
-43.115556,-22.940278
-36.418083,-9.212449
-36.4583,-9.1275
-35.226111,-55.102778
-39.535,-15.158333
-39.535,-15.158333
-43.161389,-22.963889
-43.162778,-22.963889
-39.059722,-14.399722
-39.569889,-13.742278
-40.678056,-15.061944
-41.960556,-22.806389
-41.982778,-22.804722
-40.68,-15.060556
-39.966667,-16.616667
-40.15,-19.676667
-40.68,-15.060556
-39.584444,-15.738889
-40.68,-15.060556
-40.68,-15.060556
-40.68,-15.060556
-43.224864,-22.967642
-40.15,-19.676667
-40.678056,-15.061944
-39.584444,-15.738889
-39.966667,-16.616667
-40.68,-15.060556
-39.584444,-15.738889
-37.057194,-10.531778
-37.140194,-10.844667
-39,-14.1
-34.968611,-8.078611
-35.135,-6.960278
-39.733333,-14.566667
-39.736944,-14.575833
-39.735833,-14.658889
-39.733333,-14.566667
-39.738333,-14.575278
-39.738333,-14.575278
-39.736944,-14.576944
-39.738333,-14.575833
-39.736944,-14.576944
-35.135,-6.960278
-39.736944,-14.575833
-42.461111,-22.928611
-39.733333,-14.566667
-39.733333,-14.65
-39.736944,-14.576944
-39.738333,-14.575833
-39.735833,-14.658889
-39.737222,-14.578056
-39.733333,-14.566667
-39.737222,-14.578056
-39.738333,-14.575278
-35.135,-6.960278
-39.736944,-14.576944
-42.461389,-22.929167
-35.135,-6.9603
-39.736944,-14.575833
-39.737222,-14.578056
-39.737222,-14.578056
-39.758333,-14.658889
-35.14,-6.960278
-39.738333,-14.575833
-35.135,-6.960278
-40.147222,-19.056944
-40.147222,-19.056944
-39.5522,-14.2139
-39.629167,-15.564167
-39.567222,-15.712778
-39.553333,-14.2125
-39.5533,-14.2125
-43.072778,-22.832222
-39.552222,-14.213889
-39.552222,-14.213889
-39.553333,-14.2125
-39.5525,-14.213333
-39.5522,-14.2139
-39.575,-15.203333
-39.575,-15.203333
-39.575,-15.203333
-39.575,-15.203333
-39.575,-15.203333
-39.575,-15.203333
-39.575,-15.203333
-39.575,-15.203333
-39.575,-15.203333
-39.575,-15.203333
-39.575,-15.203333
-39.170833,-14.794722
-34.9769,-6.5022
-34.976944,-6.502222
-34.968611,-8.078611
-34.9686,-8.0786
-36.6611,-9.7525
-67.705,-10.024722
-40.114278,-19.591556
-34.975833,-8.076667
-40.150278,-19.675833
-39.202222,-16.419167
-39.202222,-16.419167
-39.202222,-16.419167
-40.328333,-19.688333
-40.328327,-19.688417
-49.347278,-25.825
-49.347278,-25.825
-40.150278,-19.675833
-35.194167,-5.841944
-39.882778,-19.391111
-51.717222,-17.923056
-51.717222,-17.923056
-38.016111,-12.573611
-38.0161,-12.5736
-38.0058,-12.3425
-37.1223,-11.0053
-35.129167,-6.604444
-37.0418,-10.544
-35.129167,-6.604444
-40.151111,-19.675278
-40.279444,-19.724444
-40.28,-19.73
-40.261667,-19.678333
-40.278056,-19.729167
-40.151111,-19.675278
-40.16,-19.68
-40.26,-19.68
-40.28,-19.72
-40.278056,-19.729167
-40.151111,-19.675278
-39.579444,-16.968333
-36.493889,-10.328056
-36.298611,-10.026667
-36.49,-10.33
-36.298611,-10.026667
-36.298611,-10.026667
-36.3,-10.03
-36.3,-10.03
-36.27,-10.05
-36.3,-10.03
-36.273611,-10.047778
-37.053817,-10.890033
-39.7075,-14.181389
-39.7075,-14.181389
-39.7075,-14.181389
-39.7075,-14.1814
-39.7075,-14.1814
-40.150278,-19.675833
-42.593889,-22.751667
-39.25,-17.65
-39.25,-17.65
-35.226944,-5.8525
-35,-6
-35.470444,-8.188611
-43.915972,-19.891611
-39.56,-15.57
-37.0418,-10.544
-35.142056,-6.741861
-35.248333,-7.639167
-39.543333,-15.163611
-43.163056,-22.963333
-32.935556,-6.705
-39.6525,-15.572222
-39.659167,-15.565
-39.65,-15.57
-39.6525,-15.572222
-35.023558,-6.374122
-43.0875,-22.944444
-43.09,-22.94
-50.866667,-11.783333
-35.45,-9.35
-38.426944,-13.926944
-43.186111,-22.964722
-43.186111,-22.964722
-39.913611,-16.598611
-39.573333,-15.705556
-39.573333,-15.705556
-39.573333,-15.705556
-39.3725,-15.606667
-39.573333,-15.705556
-39.573333,-15.705556
-35.181833,-6.719722
-42.377778,-22.852778
-39.543333,-15.163611
-39.543333,-15.163611
-35.023558,-6.374122
-39.202222,-16.419167
-39.202222,-16.419167
-47.85,-15.866667
-47.877778,-15.947222
-47.877778,-15.947222
-47.877778,-15.947222
-47.546917,-22.411694
-45.094417,-22.725889
-8.509361,22.193167
-48.912333,-23.099972
-46.722389,-23.558944
-41.966667,-22.716667
-35.194556,-8.040139
-37.633333,-11.18
-34.978583,-6.493556
-34.947528,-6.680889
-35.125833,-6.838889
-34.978583,-6.493556
-35.740778,-9.614667
-37.099722,-10.923889
-37.099889,-10.924056
-34.846417,-7.137417
-37.101861,-10.926806
-36.175611,-10.126861
-37.099889,-10.924056
-37.099722,-10.923889
-35.138944,-6.820028
-37.141194,-10.842917
-37.633472,-11.180056
-37.141111,-10.842778
-38.520222,-3.721
-35.193361,-5.842278
-35.023611,-6.374194
-35.193361,-5.842278
-35.9433,-9.3067
-34.863056,-7.115
-39.577778,-15.698611
-36.16,-10.0002
-36.266667,-10.033333
-47.85,-15.866667
-47.086278,-22.862167
-47.162222,-22.786
-48.294278,-21.246583
-49.05175,-22.32975
-48.292194,-21.24525
-46.372694,-23.938556
-48.4325,-22.842222
-48.293944,-21.246472
-48.427389,-22.843056
-49.057556,-22.3235
-47.630583,-22.710111
-47.177778,-22.733556
-46.623917,-23.640417
-47.064306,-22.892389
-47.631083,-22.708417
-48.496917,-22.891472
-47.630778,-22.708306
-47.158444,-22.250722
-48.303917,-21.246194
-48.498472,-22.888833
-47.405139,-20.475944
-34.950278,-8.012778
-34.950278,-8.012778
-34.950278,-8.012778
-34.950278,-8.012778
-34.950278,-8.012778
-34.950278,-8.012778
-39.016667,-16.266667
-38.083333,-11.933333
-35.183333,-5.825
-57.65,-19.016667
-47.0608,-22.9056
-49.079167,-26.905556
-35.225,-5.908333
-35.225,-5.908333
-37.101703,-10.925117
-39.0490868076529,-14.7929067831182
-41.1128,-20.8489
-35.2,-5.816667
-35.2,-5.816667
-39.0490868076529,-14.7929067831182
-39.25,-14.25
-39.383333,-14.333333
-40.2733,-19.8203
-38.966667,-12.266944
-38.97,-12.25
-38.966667,-12.25
-38.966667,-12.25
-35.166667,-5.883333
-34.863056,-7.115
-34.863056,-7.115
-34.863056,-7.115
-54.6,-20.5
-47.87,-15.76
-47.8667,-15.7583
-54.6,-20.5
-54.6,-20.5
-54.6,-20.5
-39.25,-14.25
-54.6,-20.5
-51.237222,-30.019139
-47.6492,-22.7253
-39.25,-16.58333
-40,-19
-40,-19.5
-42.17,-22.83
-42.5,-22.91666
-40,-19
-39.25,-16.58
-40,-19.5
-42.17,-22.83
-42.17,-22.83
-39.25,-16.58
-40,-19
-42.5,-22.92
-42.17,-22.83
-42.17,-22.83
-40,-19.5
-42.5,-22.92
-42.17,-22.83
-40,-19.5
-40,-19
-42.5,-22.92
-42.5,-22.92
-42.5,-22.92
-40.000668,-19.000496
-42.75,-22.83
-39.133333,-16.383333
-39.133333,-16.383333
-39.133333,-16.383333
-39.133333,-16.383333
-39.8,-16.23
-39.13,-16.38
-42.018386387664,-22.8832603958893
-51.237222,-30.019139
-40.681389,-19.805556
-40.616667,-19.936111
-47.85,-15.866667
-70.037778,-4.368306
-34.881111,-8.054167
-35.094444,-6.2
-35.094444,-6.2
-35.054,-6.12
-35.216667,-5.8
-47.9298726661488,-15.7834208090807
-40.273066503282,-19.8244081627482
-39.733832090064,-14.1408925569318
-35.735278,-9.665833
-34.881777,-8.056484
-47.3842,-22.3569
-46.6361,-23.5475
-34.863056,-7.115
-35.691389,-6.963333
-35.691389,-6.963333
-34.863056,-7.115
-35.544722,-6.95
88.3333,22.5
-39.913611,-16.598611
-39.913889,-16.599722
-39.575,-15.703333
-39.575,-15.703333
-52.8731,-10.8339
-39.575,-15.703333
-34.950278,-8.012778
-39.713056,-14.640833
-39.575,-15.703333
-39.575,-15.703333
-39.25,-17.65
