"Longitude","Latitude"
-39.5844444,-15.7388889
-39.6591667,-15.565
-39.6291667,-15.5641667
-43.1038889,-22.9508333
-39.5533333,-14.2125
-42.8425,-22.8969444
-39.6525,-15.5722223
-42.8422222,-22.8966666
-36.2986111,-10.0266667
-36.4938889,-10.3280556
-39.5844444,-15.7388889
-42.9888889,-22.8263889
-36.2736111,-10.0477777
-40.1511111,-19.6752778
-39.5522222,-14.2138889
-42.8425,-22.8969444
-43.1613889,-22.9638889
-38.0161111,-12.5736111
-40.68,-15.0605556
-40.68,-15.0605556
-40.2616667,-19.6783334
-36.2986111,-10.0266667
-40.68,-15.0605556
-40.1472222,-19.0569444
-40.15,-19.6766667
-40.2794445,-19.7244445
-40.68,-15.0605556
-39.5672223,-15.7127778
-39.4838889,-14.2730556
-41.9605556,-22.8063889
-40.1511111,-19.6752778
-40.2780556,-19.7291667
-43.1627778,-22.9638889
-36.2986111,-10.0266667
-39.6525,-15.5722223
-43.0777778,-22.9180556
-40.6780556,-15.0619444
-43.1155556,-22.9402777
-43.1166667,-22.9441666
-42.5938889,-22.7516667
-39.5525,-14.2133333
-39.5794445,-16.9683334
-42.4611111,-22.9286111
-41.9827778,-22.8047222
-40.2780556,-19.7291667
-35.2,-5.8166667
-42.4613889,-22.9291667
-40.1511111,-19.6752778
-39.5844444,-15.7388889
-39.7333333,-14.5666667
-43.1861111,-22.9647222
-41.9666667,-22.7166667
-34.9502778,-8.0127778
-39.7333333,-14.5666667
-50.8666667,-11.7833333
-39.5777778,-15.6986111
-39.25,-17.65
-39.2022222,-16.4191667
-36.2666667,-10.0333333
-43.1630556,-22.9633333
-47.8777778,-15.9472222
-43.0875,-22.9444444
-39.5433333,-15.1636111
-39.2022222,-16.4191667
-43.1861111,-22.9647222
-39.7333333,-14.5666667
-35.135,-6.9602778
-39.7333333,-14.5666667
-39.7333333,-14.65
