FID;NOME;GEOCODIGO;POINT_X;POINT_Y;NOMEUF;SIGLAUF
0;Chuí;4305439;-53.412830;-33.652233;RIO GRANDE DO SUL;RS
1;Santa Vitória do Palmar;4317301;-53.006688;-33.164019;RIO GRANDE DO SUL;RS
2;Jaguarão;4311007;-53.337578;-32.408848;RIO GRANDE DO SUL;RS
3;Rio Grande;4315602;-52.403910;-32.218238;RIO GRANDE DO SUL;RS
4;Arroio Grande;4301305;-52.919887;-32.188402;RIO GRANDE DO SUL;RS
5;Herval;4307104;-53.401749;-32.020925;RIO GRANDE DO SUL;RS
6;Pedro Osório;4314209;-52.877494;-31.960662;RIO GRANDE DO SUL;RS
7;Pedras Altas;4314175;-53.691498;-31.838426;RIO GRANDE DO SUL;RS
8;Capão do Leão;4304663;-52.538586;-31.833173;RIO GRANDE DO SUL;RS
9;São José do Norte;431850;-51.643912;-31.786086;RIO GRANDE DO SUL;RS
10;Cerrito;4305124;-52.796684;-31.728362;RIO GRANDE DO SUL;RS
11;Aceguá;4300034;-54.139094;-31.690458;RIO GRANDE DO SUL;RS
12;Morro Redondo;4312450;-52.637784;-31.637257;RIO GRANDE DO SUL;RS
13;Pelotas;4314407;-52.358267;-31.579070;RIO GRANDE DO SUL;RS
14;Candiota;4304358;-53.746104;-31.553890;RIO GRANDE DO SUL;RS
15;Turuçu;4322327;-52.142068;-31.492567;RIO GRANDE DO SUL;RS
16;Hulha Negra;4309654;-53.889482;-31.447169;RIO GRANDE DO SUL;RS
17;Arroio do Padre;4301073;-52.397107;-31.438906;RIO GRANDE DO SUL;RS
18;Piratini;4314605;-53.103540;-31.438491;RIO GRANDE DO SUL;RS
19;Pinheiro Machado;4314506;-53.413625;-31.404645;RIO GRANDE DO SUL;RS
20;Tavares;4321352;-51.075910;-31.288067;RIO GRANDE DO SUL;RS
21;Bagé;4301602;-54.016598;-31.236049;RIO GRANDE DO SUL;RS
22;São Lourenço do Sul;4318804;-52.122358;-31.234127;RIO GRANDE DO SUL;RS
23;Canguçu;4304507;-52.669618;-31.216942;RIO GRANDE DO SUL;RS
24;Dom Pedrito;4306601;-54.664924;-31.056438;RIO GRANDE DO SUL;RS
25;Cristal;4306056;-52.030391;-31.008909;RIO GRANDE DO SUL;RS
26;Camaquã;4303509;-51.788574;-30.922911;RIO GRANDE DO SUL;RS
27;Arambaré;4300851;-51.578858;-30.918450;RIO GRANDE DO SUL;RS
28;Mostardas;4312500;-50.729096;-30.854225;RIO GRANDE DO SUL;RS
29;Santana da Boa Vista;4317004;-53.176810;-30.816685;RIO GRANDE DO SUL;RS
30;Amaral Ferrador;4300638;-52.317551;-30.810066;RIO GRANDE DO SUL;RS
31;Chuvisca;4305447;-52.004429;-30.781757;RIO GRANDE DO SUL;RS
32;Lavras do Sul;4311502;-54.153774;-30.771613;RIO GRANDE DO SUL;RS
33;Sant' Ana do Livramento;4317103;-55.562122;-30.738127;RIO GRANDE DO SUL;RS
34;Tapes;4321105;-51.441027;-30.664038;RIO GRANDE DO SUL;RS
35;Encruzilhada do Sul;4306908;-52.673378;-30.630839;RIO GRANDE DO SUL;RS
36;Sentinela do Sul;4320354;-51.608070;-30.625539;RIO GRANDE DO SUL;RS
37;Dom Feliciano;4306502;-52.201582;-30.604294;RIO GRANDE DO SUL;RS
38;Caçapava do Sul;4302808;-53.477198;-30.591934;RIO GRANDE DO SUL;RS
39;Cerro Grande do Sul;4305173;-51.760092;-30.583991;RIO GRANDE DO SUL;RS
40;Sertão Santana;4320552;-51.629888;-30.466924;RIO GRANDE DO SUL;RS
41;Barão do Triunfo;4301750;-51.798492;-30.417236;RIO GRANDE DO SUL;RS
42;Barra do Ribeiro;4301909;-51.353300;-30.371858;RIO GRANDE DO SUL;RS
43;Santa Margarida do Sul;4316972;-54.098323;-30.371157;RIO GRANDE DO SUL;RS
44;Palmares do Sul;4313656;-50.448951;-30.362669;RIO GRANDE DO SUL;RS
45;Vila Nova do Sul;4323457;-53.879809;-30.345147;RIO GRANDE DO SUL;RS
46;Rosário do Sul;4316402;-55.110345;-30.324920;RIO GRANDE DO SUL;RS
47;Mariana Pimentel;4311981;-51.578256;-30.321303;RIO GRANDE DO SUL;RS
48;São Gabriel;4318309;-54.364129;-30.305697;RIO GRANDE DO SUL;RS
49;São Jerônimo;4318408;-51.911630;-30.290201;RIO GRANDE DO SUL;RS
50;Quaraí;4315305;-56.153082;-30.279186;RIO GRANDE DO SUL;RS
