FID;ID_UC0;NOME_UC1;ID_WCMC2;CATEGORI3;GRUPO4;ESFERA5;ANO_CRIA6;GID7;QUALIDAD8;ATO_LEGA9;DT_ULTIM10;CODIGO_U11;NOME_ORG12;POINT_X;POINT_Y
0;1977;RESERVA DE DESENVOLVIMENTO SUSTENTAVEL DO RIO MADEIRA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2006;4618;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 26.009 de 03/07/2006;05/02/2016;0000.13.1977;Secretaria de Estado do Meio Ambiente do Amazonas;-60.525331;-5.086387
1;1573;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO JUMA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2006;3870;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 26010 de 03/07/2006;15/02/2016;0000.13.1573;Secretaria de Estado do Meio Ambiente do Amazonas;-60.310825;-5.932550
2;416;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL VEREDAS DO ACARI;352059;Reserva de Desenvolvimento Sustentável;US;estadual;2003;3093;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/NÚMERO de 22/10/2003;21/08/2009;0000.31.0416;Instituto Estadual de Florestas de Minas Gerais;-45.408162;-15.669456
3;1691;RDS DOS PINHEIRINHOS; ;Reserva de Desenvolvimento Sustentável;US;estadual;2008;4581;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;30/09/2015;0000.35.1691;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.552681;-24.970176
4;1687;RDS DA BARRA DO UNA; ;Reserva de Desenvolvimento Sustentável;US;estadual;2013;2929;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 14.982 de 09/04/2013;30/09/2015;0000.35.1687;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-47.082717;-24.425989
5;1692;RDS QUILOMBOS DE BARRA DO TURVO; ;Reserva de Desenvolvimento Sustentável;US;estadual;2008;4587;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;30/09/2015;0000.35.1692;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.458442;-24.924454
6;3480;RESERVA DE DESENVOLVIMENTO SUSTENTáVEL VITóRIA DE SOUZEL; ;Reserva de Desenvolvimento Sustentável;US;estadual;2016;13226;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.566 de 20/06/2016;22/02/2017;0000.15.3480;Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará;-51.976190;-2.786960
7;1689;RDS DO DESPRAIADO; ;Reserva de Desenvolvimento Sustentável;US;estadual;2013;2928;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 14.982 de 09/04/2013;30/09/2015;0000.35.1689;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-47.363222;-24.390799
8;988;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL RIO AMAPÁ;352137;Reserva de Desenvolvimento Sustentável;US;estadual;2005;3874;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 25041 de 02/06/2005;15/02/2016;0000.13.0988;Secretaria de Estado do Meio Ambiente do Amazonas;-61.808985;-5.508424
9;1732;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL IGAPÓ-AÇU; ;Reserva de Desenvolvimento Sustentável;US;estadual;2009;4627;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 28.420 de 30/03/2009;15/02/2016;0000.13.1732;Secretaria de Estado do Meio Ambiente do Amazonas;-61.573691;-4.949427
