"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"1" 3 1 -45.625861 -22.805833 147 112 62
"2" 1 1 -48.371389 -24.097778 183 106 55
"3" 2 1 -42.771683 -22.452429 197 99 59
"4" 2 1 -42.771658 -22.452442 197 99 59
"5" 1 1 -48.412102 -24.264925 176 103 54
"6" 2 1 -48.912117 -25.794992 181 89 50
"11" 1 1 -47.419722 -23.71 168 102 58
"12" 3 1 -40.072222 -19.391111 243 92 63
"14" 3 1 -50.1993 -29.48125 157 91 51
"20" 3 1 -46.144444 -22.755556 160 113 63
"21" 1 1 -46.549722 -23.110278 181 108 61
"26" 2 1 -48.34 -24 183 106 55
"27" 2 1 -48.759722 -24.22 177 107 55
"29" 1 1 -45.455556 -22.669444 170 116 62
"34" 2 1 -44.569722 -22.64 204 118 62
"40" 3 1 -45.84 -23.530278 170 94 58
"48" 1 1 -44.75 -22.56667 197 120 62
"58" 2 1 -45.83 -23.63 161 96 57
"61" 3 1 -54.83 -23.63 221 117 58
"67" 2 1 -49.378333 -26.250556 166 107 55
"68" 3 1 -48.59 -24.58 212 101 52
"69" 1 1 -48.9817 -27.8747 165 82 49
"76" 3 1 -40.58 -19.83 229 102 65
"78" 1 1 -42.98 -22.43 189 101 58
"84" 3 1 -44.65 -22.82 154 120 62
"136" 3 1 -48.611389 -27.090556 197 91 50
"140" 1 1 -50.03044 -22.4333 208 127 64
"141" 1 1 -45.59 -22.73 147 112 62
"144" 2 1 -45.58333 -22.73334 147 112 62
"145" 3 1 -44.5833 -22.6333 204 118 62
"153" 2 1 -49.25 -25.4167 171 103 57
"156" 3 1 -46.51667 -23.66667 175 93 57
"176" 1 1 -44.75 -22.5667 197 120 62
"185" 2 1 -49.2333 -26.4333 193 96 52
"190" 2 1 -49.23333 -26.43333 193 96 52
"191" 2 1 -44.58333 -22.63333 204 118 62
"192" 2 1 -46.3779 -23.767067 173 91 57
"195" 3 1 -70.76667 -8.16667 259 107 79
"198" 1 1 -40.6 -19.91667 208 100 64
"207" 1 1 -40.35 -20.31667 244 82 60
"1100" 1 0 -73.9166666666667 -11.9166666666667 247 125 82
"2100" 3 0 -75.4166666666667 -7.91666666666667 263 121 82
"310" 1 0 -53.5833333333333 -29.4166666666667 185 107 52
"410" 3 0 -53.5833333333333 -29.5833333333333 185 106 51
"510" 1 0 -74.25 -10.5833333333333 213 133 81
"610" 3 0 -47.75 -19.9166666666667 225 121 69
"7" 2 0 -72.5833333333333 -7.91666666666667 255 100 74
"8" 1 0 -49.0833333333333 -19.5833333333333 234 131 69
"9" 2 0 -47.0833333333333 -18.9166666666667 215 112 68
"10" 2 0 -54.75 -20.4166666666667 237 113 69
"1110" 1 0 -40.75 -14.25 222 96 69
"1210" 1 0 -69.75 -3.08333333333333 256 91 87
"13" 1 0 -72.25 -5.58333333333333 259 100 82
"1410" 2 0 -39.25 -15.9166666666667 238 76 66
"15" 2 0 -73.4166666666667 -10.4166666666667 257 115 79
"16" 3 0 -70.75 -4.25 259 97 85
"17" 2 0 -70.5833333333333 -4.08333333333333 258 96 85
"18" 2 0 -43.25 -22.9166666666667 224 82 56
"19" 1 0 -55.5833333333333 -27.0833333333333 211 126 55
"2010" 2 0 -48.75 -28.5833333333333 199 69 44
"2110" 3 0 -69.25 -6.08333333333333 255 105 84
"22" 3 0 -72.9166666666667 -5.58333333333333 262 101 82
"23" 2 0 -67.4166666666667 -6.58333333333333 258 102 80
"24" 1 0 -55.5833333333333 -23.75 223 115 56
