"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"1" 9 1 -48.636944 -24.594167 212 101 52
"2" 2 1 -48.633611 -24.590556 212 101 52
"3" 6 1 -48.636944 -24.594167 212 101 52
"4" 1 1 -44.65 -22.82 154 120 62
"5" 3 1 -45.409722 -23.620278 197 91 56
"6" 5 1 -45.83 -23.63 161 96 57
"7" 8 1 -40.6 -19.9167 208 100 64
"8" 4 1 -46.529722 -23.66 183 97 59
"9" 7 1 -46.3167 -23.7833 168 90 56
"10" 2 0 -48.4166666666667 -27.0833333333333 201 86 50
"11" 8 0 -50.4166666666667 -23.0833333333333 216 126 63
"12" 2 0 -48.25 -24.4166666666667 207 99 52
"13" 7 0 -42.9166666666667 -18.4166666666667 205 122 64
"14" 3 0 -48.25 -23.9166666666667 189 107 57
"15" 8 0 -47.4166666666667 -24.0833333333333 191 95 55
"16" 5 0 -39.9166666666667 -17.75 243 89 66
"17" 3 0 -41.9166666666667 -22.25 227 92 59
"18" 4 0 -48.9166666666667 -26.0833333333333 187 86 50
"19" 6 0 -41.75 -18.9166666666667 241 117 65
"20" 1 0 -50.9166666666667 -24.9166666666667 183 120 59
"21" 3 0 -42.75 -21.5833333333333 220 121 63
"22" 2 0 -47.4166666666667 -21.9166666666667 208 119 64
"23" 4 0 -43.4166666666667 -23.0833333333333 233 84 56
"24" 4 0 -49.5833333333333 -26.9166666666667 175 104 54
"25" 7 0 -42.4166666666667 -20.9166666666667 201 130 64
"26" 4 0 -42.5833333333333 -20.5833333333333 199 125 64
"27" 5 0 -49.75 -24.4166666666667 169 118 55
"28" 3 0 -42.75 -19.5833333333333 218 118 63
"29" 6 0 -45.0833333333333 -21.5833333333333 194 131 66
"30" 7 0 -50.9166666666667 -25.5833333333333 169 116 58
"31" 9 0 -46.4166666666667 -20.9166666666667 196 122 67
"32" 5 0 -44.75 -21.4166666666667 191 125 67
"33" 3 0 -49.9166666666667 -23.0833333333333 212 126 62
"34" 7 0 -46.5833333333333 -23.75 175 93 57
"35" 5 0 -41.4166666666667 -21.25 233 102 61
"36" 3 0 -47.75 -23.25 199 112 61
"37" 5 0 -43.9166666666667 -22.4166666666667 203 111 61
"38" 9 0 -41.9166666666667 -22.9166666666667 228 64 56
"39" 3 0 -51.0833333333333 -25.0833333333333 182 117 59
"40" 4 0 -51.25 -23.5833333333333 201 124 64
"41" 6 0 -49.0833333333333 -22.25 209 127 65
"42" 7 0 -42.4166666666667 -21.4166666666667 228 123 62
"43" 6 0 -45.4166666666667 -20.25 205 132 67
"44" 8 0 -47.9166666666667 -23.0833333333333 203 115 62
"45" 3 0 -48.4166666666667 -25.5833333333333 207 73 48
"46" 6 0 -51.0833333333333 -23.9166666666667 178 128 64
"47" 8 0 -48.4166666666667 -23.0833333333333 191 120 64
"48" 3 0 -41.75 -19.25 233 120 65
"49" 5 0 -43.4166666666667 -21.9166666666667 208 113 61
"50" 5 0 -46.0833333333333 -20.9166666666667 202 129 67
"51" 1 0 -42.0833333333333 -21.25 224 121 62
"52" 6 0 -49.75 -22.4166666666667 205 127 64
"53" 3 0 -40.0833333333333 -17.75 241 93 67
"54" 1 0 -49.5833333333333 -24.75 178 114 56
"55" 1 0 -46.5833333333333 -21.0833333333333 190 118 67
"56" 8 0 -49.9166666666667 -26.75 179 112 54
"57" 1 0 -44.5833333333333 -23.0833333333333 221 101 59
"58" 2 0 -41.4166666666667 -19.5833333333333 240 121 66
"59" 4 0 -41.9166666666667 -18.25 228 119 65
"60" 4 0 -48.4166666666667 -21.75 211 119 65
"61" 1 0 -44.75 -22.5833333333333 197 120 62
"62" 7 0 -40.9166666666667 -18.0833333333333 236 110 68
"63" 6 0 -45.5833333333333 -20.5833333333333 207 132 67
"64" 2 0 -45.0833333333333 -21.9166666666667 193 138 67
"65" 6 0 -49.25 -25.9166666666667 162 103 54
"66" 4 0 -41.9166666666667 -17.5833333333333 212 122 68
"67" 2 0 -42.75 -21.9166666666667 220 120 62
"68" 5 0 -42.25 -20.5833333333333 190 130 65
"69" 8 0 -39.75 -19.0833333333333 241 86 62
"70" 8 0 -50.9166666666667 -25.4166666666667 177 115 58
"71" 6 0 -40.25 -18.75 239 100 67
"72" 1 0 -51.4166666666667 -23.75 196 126 63
"73" 2 0 -42.5833333333333 -19.75 234 120 63
"74" 2 0 -48.4166666666667 -24.75 197 93 50
"75" 9 0 -46.9166666666667 -21.4166666666667 204 120 65
"76" 6 0 -42.5833333333333 -22.0833333333333 194 110 60
"77" 5 0 -50.5833333333333 -26.5833333333333 158 122 56
"78" 9 0 -45.4166666666667 -20.75 204 129 67
"79" 2 0 -45.75 -21.9166666666667 200 132 66
"80" 3 0 -42.75 -22.0833333333333 196 111 61
"81" 1 0 -49.5833333333333 -22.9166666666667 207 127 64
"82" 7 0 -41.4166666666667 -21.0833333333333 225 108 63
"83" 5 0 -45.75 -24.0833333333333 222 68 48
"84" 8 0 -42.9166666666667 -20.9166666666667 205 119 62
"85" 6 0 -42.75 -21.75 214 121 62
"86" 7 0 -46.5833333333333 -22.9166666666667 181 112 63
"87" 3 0 -50.75 -26.0833333333333 170 124 56
"88" 4 0 -48.4166666666667 -25.4166666666667 212 76 47
"89" 8 0 -44.9166666666667 -21.9166666666667 188 137 66
"90" 6 0 -46.5833333333333 -22.0833333333333 189 122 64
"91" 4 0 -43.25 -21.9166666666667 207 114 61
