"name","lon","lat"
"Caesalpinia echinata",-49.0791667,-26.9055556
"Caesalpinia echinata",-67.705,-10.0247223
"Caesalpinia echinata",-39.5844444,-15.7388889
"Caesalpinia echinata",-39.6591667,-15.565
"Caesalpinia echinata",-38.9666667,-12.25
"Caesalpinia echinata",-39.6291667,-15.5641667
"Caesalpinia echinata",-43.1038889,-22.9508333
"Caesalpinia echinata",-51.7172223,-17.9230556
"Caesalpinia echinata",-51.7172223,-17.9230556
"Caesalpinia echinata",-39.5533333,-14.2125
"Caesalpinia echinata",-42.8425,-22.8969444
"Caesalpinia echinata",-39.6525,-15.5722223
"Caesalpinia echinata",-41.2911111,-21.7619444
"Caesalpinia echinata",-41.2911111,-21.7619444
"Caesalpinia echinata",-41.2911111,-21.7619444
"Caesalpinia echinata",-41.2911111,-21.7619444
"Caesalpinia echinata",-41.2911111,-21.7619444
"Caesalpinia echinata",-38.1016667,-4.8380555
"Caesalpinia echinata",-47.8777778,-15.9463889
"Caesalpinia echinata",-42.8422222,-22.8966666
"Caesalpinia echinata",-36.2986111,-10.0266667
"Caesalpinia echinata",-36.4938889,-10.3280556
"Caesalpinia echinata",-35.2394444,-5.8369444
"Caesalpinia echinata",-35.1336111,-5.5108333
"Caesalpinia echinata",-35.3527778,-6.3291667
"Caesalpinia echinata",-35.3527778,-6.3291667
"Caesalpinia echinata",-35.3527778,-6.3291667
"Caesalpinia echinata",-35.1941666,-5.8419444
"Caesalpinia echinata",-35.2991666,-5.4694445
"Caesalpinia echinata",-35.135,-5.8491666
"Caesalpinia echinata",-35.2008333,-5.8425
"Caesalpinia echinata",-38.1016667,-4.8380555
"Caesalpinia echinata",-47.8777778,-15.9463889
"Caesalpinia echinata",-39.5844444,-15.7388889
"Caesalpinia echinata",-42.9888889,-22.8263889
"Caesalpinia echinata",-36.2736111,-10.0477777
"Caesalpinia echinata",-40.1511111,-19.6752778
"Caesalpinia echinata",-39.5522222,-14.2138889
"Caesalpinia echinata",-42.8425,-22.8969444
"Caesalpinia echinata",-43.1613889,-22.9638889
"Caesalpinia echinata",-38.0161111,-12.5736111
"Caesalpinia echinata",-40.68,-15.0605556
"Caesalpinia echinata",-40.68,-15.0605556
"Caesalpinia echinata",-40.2616667,-19.6783334
"Caesalpinia echinata",-36.2986111,-10.0266667
"Caesalpinia echinata",-40.68,-15.0605556
"Caesalpinia echinata",-40.1472222,-19.0569444
"Caesalpinia echinata",-40.15,-19.6766667
"Caesalpinia echinata",-40.2794445,-19.7244445
"Caesalpinia echinata",-40.68,-15.0605556
"Caesalpinia echinata",-39.5672223,-15.7127778
"Caesalpinia echinata",-39.4838889,-14.2730556
"Caesalpinia echinata",-41.9605556,-22.8063889
"Caesalpinia echinata",-40.1511111,-19.6752778
"Caesalpinia echinata",-40.2780556,-19.7291667
"Caesalpinia echinata",-43.1627778,-22.9638889
"Caesalpinia echinata",-36.2986111,-10.0266667
"Caesalpinia echinata",-39.6525,-15.5722223
"Caesalpinia echinata",-43.0777778,-22.9180556
"Caesalpinia echinata",-40.6780556,-15.0619444
"Caesalpinia echinata",-43.1155556,-22.9402777
"Caesalpinia echinata",-43.1166667,-22.9441666
"Caesalpinia echinata",-42.5938889,-22.7516667
"Caesalpinia echinata",-39.5525,-14.2133333
"Caesalpinia echinata",-39.5794445,-16.9683334
"Caesalpinia echinata",-42.4611111,-22.9286111
"Caesalpinia echinata",-41.9827778,-22.8047222
"Caesalpinia echinata",-40.2780556,-19.7291667
"Caesalpinia echinata",-35.2,-5.8166667
"Caesalpinia echinata",-42.4613889,-22.9291667
"Caesalpinia echinata",-40.1511111,-19.6752778
"Caesalpinia echinata",-39.5844444,-15.7388889
"Caesalpinia echinata",-39.7333333,-14.5666667
"Caesalpinia echinata",-43.1861111,-22.9647222
"Caesalpinia echinata",-41.9666667,-22.7166667
"Caesalpinia echinata",-34.9502778,-8.0127778
"Caesalpinia echinata",-39.7333333,-14.5666667
"Caesalpinia echinata",-50.8666667,-11.7833333
"Caesalpinia echinata",-39.5777778,-15.6986111
"Caesalpinia echinata",-39.25,-17.65
"Caesalpinia echinata",-39.2022222,-16.4191667
"Caesalpinia echinata",-36.2666667,-10.0333333
"Caesalpinia echinata",-43.1630556,-22.9633333
"Caesalpinia echinata",-47.8777778,-15.9472222
"Caesalpinia echinata",-43.0875,-22.9444444
"Caesalpinia echinata",-39.5433333,-15.1636111
"Caesalpinia echinata",-39.2022222,-16.4191667
"Caesalpinia echinata",-43.1861111,-22.9647222
"Caesalpinia echinata",-39.7333333,-14.5666667
"Caesalpinia echinata",-35.135,-6.9602778
"Caesalpinia echinata",-39.7333333,-14.5666667
"Caesalpinia echinata",-39.7333333,-14.65
