"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"1" 3 1 -43.2169444 -22.4058333 178 96 58
"2" 1 1 -49.4463889 -20.8197223 227 127 68
"3" 2 1 -44.5666667 -22.25 154 125 64
"4" 1 1 -42.8586111 -22.0716667 200 111 60
"5" 1 1 -42.3675 -22.3722222 192 97 59
"6" 3 1 -43.0133333 -22.4891666 173 97 58
"7" 3 1 -42.4833334 -22.3833334 192 97 59
"8" 2 1 -42.4302778 -22.4019444 192 97 59
"9" 3 1 -43.9944444 -22.2627778 197 111 60
"10" 2 1 -42.4136111 -22.4011111 192 97 59
"11" 1 1 -42.4833333 -22.3833333 192 97 59
"12" 2 1 -42.4302778 -22.4019444 192 97 59
"13" 1 0 -49.25 -21.4166666666667 221 126 65
"14" 3 0 -41.25 -22.25 231 83 56
"15" 1 0 -45.9166666666667 -21.9166666666667 192 128 66
"16" 3 0 -42.75 -20.5833333333333 206 121 63
"17" 1 0 -43.0833333333333 -20.9166666666667 202 117 62
"18" 3 0 -42.75 -22.5833333333333 229 92 57
"19" 2 0 -48.75 -22.0833333333333 213 123 64
"20" 1 0 -48.4166666666667 -21.0833333333333 219 121 67
"21" 2 0 -49.0833333333333 -19.4166666666667 234 131 69
"22" 2 0 -44.5833333333333 -23.25 224 99 58
"23" 1 0 -42.9166666666667 -21.4166666666667 212 120 63
"24" 1 0 -48.5833333333333 -21.9166666666667 216 122 64
"25" 1 0 -44.75 -21.9166666666667 178 132 66
"26" 2 0 -44.75 -23.25 209 103 59
"27" 2 0 -42.5833333333333 -22.25 175 102 59
"28" 3 0 -49.0833333333333 -21.75 220 126 65
"29" 2 0 -48.9166666666667 -21.0833333333333 225 124 69
"30" 2 0 -42.5833333333333 -20.5833333333333 199 125 64
"31" 1 0 -42.25 -20.75 193 132 65
"32" 2 0 -48.9166666666667 -20.0833333333333 239 131 68
"33" 3 0 -50.9166666666667 -20.4166666666667 227 127 65
"34" 3 0 -42.25 -21.9166666666667 219 113 62
"35" 2 0 -44.9166666666667 -21.9166666666667 188 137 66
"36" 1 0 -42.5833333333333 -20.75 193 126 64
"37" 3 0 -49.4166666666667 -19.75 237 130 68
"38" 2 0 -48.75 -21.5833333333333 219 123 66
"39" 1 0 -48.25 -21.25 219 121 67
"40" 2 0 -50.4166666666667 -21.25 222 127 65
"41" 3 0 -49.25 -22.25 210 127 64
"42" 1 0 -50.0833333333333 -20.9166666666667 227 127 66
"43" 2 0 -41.5833333333333 -22.25 230 87 58
"44" 2 0 -50.0833333333333 -20.0833333333333 233 128 68
"45" 3 0 -44.25 -22.4166666666667 208 115 61
"46" 2 0 -46.0833333333333 -21.9166666666667 179 124 66
"47" 3 0 -43.9166666666667 -21.25 193 113 66
"48" 1 0 -44.0833333333333 -22.4166666666667 205 113 61
"49" 2 0 -50.5833333333333 -20.75 226 127 65
"50" 3 0 -42.4166666666667 -22.9166666666667 230 74 56
"51" 1 0 -50.5833333333333 -21.0833333333333 226 127 65
"52" 2 0 -43.4166666666667 -23.0833333333333 233 84 56
"53" 2 0 -44.5833333333333 -21.25 196 123 67
"54" 1 0 -48.0833333333333 -20.25 231 122 69
"55" 2 0 -48.9166666666667 -19.5833333333333 230 130 69
"56" 1 0 -43.9166666666667 -20.75 195 118 65
"57" 1 0 -44.4166666666667 -22.0833333333333 169 123 64
"58" 1 0 -44.25 -20.9166666666667 195 122 66
"59" 3 0 -45.25 -22.75 198 118 62
"60" 1 0 -49.25 -20.75 227 127 68
"61" 1 0 -43.5833333333333 -20.75 205 116 63
"62" 2 0 -50.0833333333333 -21.4166666666667 220 127 64
"63" 2 0 -43.4166666666667 -21.5833333333333 202 108 62
"64" 1 0 -49.4166666666667 -21.25 224 126 66
"65" 3 0 -44.75 -23.0833333333333 182 110 61
"66" 2 0 -48.0833333333333 -20.4166666666667 227 119 68
"67" 1 0 -44.9166666666667 -22.75 183 120 62
"68" 2 0 -49.9166666666667 -20.5833333333333 229 128 68
"69" 2 0 -44.5833333333333 -22.0833333333333 161 126 65
"70" 1 0 -50.4166666666667 -20.5833333333333 226 127 66
"71" 2 0 -48.9166666666667 -21.9166666666667 217 124 64
"72" 3 0 -44.9166666666667 -21.75 186 133 67
"73" 3 0 -44.0833333333333 -22.5833333333333 205 114 60
"74" 2 0 -42.0833333333333 -22.0833333333333 194 101 60
"75" 1 0 -42.9166666666667 -21.0833333333333 223 124 62
"76" 1 0 -44.9166666666667 -20.9166666666667 195 122 68
"77" 1 0 -50.0833333333333 -20.75 226 128 67
"78" 3 0 -47.9166666666667 -20.4166666666667 227 117 68
"79" 2 0 -45.5833333333333 -22.0833333333333 196 133 66
"80" 2 0 -43.75 -21.0833333333333 187 111 65
"81" 3 0 -42.9166666666667 -21.75 204 118 62
"82" 1 0 -41.0833333333333 -21.5833333333333 231 89 60
"83" 1 0 -42.4166666666667 -21.4166666666667 228 123 62
"84" 1 0 -43.75 -21.75 198 107 62
"85" 3 0 -44.75 -22.5833333333333 197 120 62
"86" 2 0 -42.75 -21.5833333333333 220 121 63
"87" 3 0 -45.25 -21.75 198 136 66
"88" 2 0 -42.5833333333333 -21.9166666666667 217 119 62
"89" 3 0 -43.75 -22.5833333333333 215 106 61
"90" 1 0 -50.25 -19.75 235 128 69
"91" 2 0 -41.5833333333333 -21.9166666666667 232 96 57
"92" 3 0 -48.5833333333333 -20.5833333333333 227 125 68
"93" 2 0 -44.0833333333333 -21.25 195 117 65
"94" 2 0 -45.4166666666667 -23.25 177 105 60
"95" 3 0 -42.0833333333333 -20.9166666666667 213 127 63
"96" 1 0 -50.5833333333333 -21.4166666666667 218 126 64
"97" 1 0 -45.0833333333333 -22.4166666666667 158 127 64
"98" 2 0 -44.5833333333333 -20.75 193 123 67
