"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3" "bio5"
"1" 3 1 -49.0791667 -26.9055556 200 92 51 291
"2" 3 1 -67.705 -10.0247223 261 106 73 328
"3" 2 1 -39.5844444 -15.7388889 230 82 66 289
"4" 3 1 -39.6591667 -15.565 236 80 66 295
"5" 1 1 -38.9666667 -12.25 232 78 63 295
"6" 2 1 -39.6291667 -15.5641667 236 80 66 295
"7" 1 1 -43.1038889 -22.9508333 231 82 56 304
"8" 1 1 -51.7172223 -17.9230556 235 119 72 309
"10" 3 1 -39.5533333 -14.2125 236 68 65 288
"11" 1 1 -42.8425 -22.8969444 230 83 55 305
"12" 3 1 -39.6525 -15.5722223 236 80 66 295
"13" 3 1 -41.2911111 -21.7619444 234 92 58 312
"18" 1 1 -38.1016667 -4.8380555 272 100 80 335
"19" 3 1 -47.8777778 -15.9463889 208 114 71 278
"20" 2 1 -42.8422222 -22.8966666 230 83 55 305
"21" 2 1 -36.2986111 -10.0266667 244 79 69 303
"22" 2 1 -36.4938889 -10.3280556 249 83 68 312
"23" 3 1 -35.2394444 -5.8369444 257 89 74 315
"25" 1 1 -35.3527778 -6.3291667 254 95 74 318
"28" 1 1 -35.1941666 -5.8419444 257 89 74 315
"29" 1 1 -35.2991666 -5.4694445 260 83 74 313
"30" 3 1 -35.135 -5.8491666 258 84 73 313
"31" 1 1 -35.2008333 -5.8425 257 89 74 315
"35" 1 1 -42.9888889 -22.8263889 232 87 56 309
"36" 3 1 -36.2736111 -10.0477777 244 79 69 303
"37" 3 1 -40.1511111 -19.6752778 245 87 60 317
"38" 2 1 -39.5522222 -14.2138889 236 68 65 288
"40" 3 1 -43.1613889 -22.9638889 231 82 56 304
"41" 1 1 -38.0161111 -12.5736111 246 75 66 303
"42" 2 1 -40.68 -15.0605556 214 97 67 283
"44" 2 1 -40.2616667 -19.6783334 244 91 61 317
"47" 2 1 -40.1472222 -19.0569444 240 94 64 313
"48" 2 1 -40.15 -19.6766667 245 87 60 317
"49" 3 1 -40.2794445 -19.7244445 244 91 61 317
"51" 1 1 -39.5672223 -15.7127778 230 82 66 289
"52" 2 1 -39.4838889 -14.2730556 238 66 65 289
"53" 2 1 -41.9605556 -22.8063889 229 68 56 289
"55" 1 1 -40.2780556 -19.7291667 244 91 61 317
"56" 3 1 -43.1627778 -22.9638889 231 82 56 304
"59" 2 1 -43.0777778 -22.9180556 231 82 56 304
"60" 3 1 -40.6780556 -15.0619444 214 97 67 283
"61" 2 1 -43.1155556 -22.9402777 231 82 56 304
"62" 3 1 -43.1166667 -22.9441666 231 82 56 304
"63" 2 1 -42.5938889 -22.7516667 225 84 57 298
"64" 1 1 -39.5525 -14.2133333 236 68 65 288
"65" 1 1 -39.5794445 -16.9683334 244 87 67 307
"66" 1 1 -42.4611111 -22.9286111 230 74 56 297
"67" 3 1 -41.9827778 -22.8047222 229 68 56 289
"69" 2 1 -35.2 -5.8166667 258 87 74 315
"70" 1 1 -42.4613889 -22.9291667 230 74 56 297
"73" 2 1 -39.7333333 -14.5666667 229 74 66 284
"74" 3 1 -43.1861111 -22.9647222 224 82 56 297
"75" 1 1 -41.9666667 -22.7166667 229 68 56 289
"76" 3 1 -34.9502778 -8.0127778 256 64 69 300
"78" 1 1 -50.8666667 -11.7833333 275 120 74 350
"79" 2 1 -39.5777778 -15.6986111 230 82 66 289
"80" 3 1 -39.25 -17.65 244 75 63 305
"81" 3 1 -39.2022222 -16.4191667 241 78 66 297
"82" 2 1 -36.2666667 -10.0333333 244 79 69 303
"83" 1 1 -43.1630556 -22.9633333 231 82 56 304
"84" 2 1 -47.8777778 -15.9472222 208 114 71 278
"85" 1 1 -43.0875 -22.9444444 231 82 56 304
"86" 3 1 -39.5433333 -15.1636111 235 75 64 292
"90" 1 1 -35.135 -6.9602778 253 87 71 312
"92" 2 1 -39.7333333 -14.65 229 74 66 284
"1100" 1 0 -40.25 -9.41666666666666 244 127 75 325
"2100" 3 0 -58.5833333333333 -9.91666666666666 249 127 67 339
"310" 1 0 -63.9166666666667 -4.25 265 89 84 320
"410" 3 0 -68.75 -1.58333333333333 255 89 87 307
"510" 1 0 -53.75 -32.9166666666667 174 109 48 298
"610" 3 0 -43.9166666666667 -17.5833333333333 222 126 68 302
"710" 2 0 -67.25 -4.08333333333333 259 91 83 315
"810" 1 0 -53.5833333333333 -16.75 224 134 68 311
"9" 2 0 -48.5833333333333 -11.75 265 122 68 352
"1010" 2 0 -60.75 -7.41666666666666 262 104 70 335
"1110" 1 0 -73.4166666666667 -5.08333333333333 267 102 82 327
"1210" 1 0 -37.75 -6.25 254 102 76 321
"1310" 1 0 -66.5833333333333 -15.25 250 108 64 324
