"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3" "bio4"
"1" 3 1 -49.0791667 -26.9055556 200 92 51 2950
"2" 3 1 -67.705 -10.0247223 261 106 73 750
"3" 2 1 -39.5844444 -15.7388889 230 82 66 1367
"4" 3 1 -39.6591667 -15.565 236 80 66 1307
"5" 1 1 -38.9666667 -12.25 232 78 63 1583
"6" 2 1 -39.6291667 -15.5641667 236 80 66 1307
"7" 1 1 -43.1038889 -22.9508333 231 82 56 2062
"8" 1 1 -51.7172223 -17.9230556 235 119 72 1157
"10" 3 1 -39.5533333 -14.2125 236 68 65 1157
"11" 1 1 -42.8425 -22.8969444 230 83 55 2089
"12" 3 1 -39.6525 -15.5722223 236 80 66 1307
"13" 3 1 -41.2911111 -21.7619444 234 92 58 1926
"18" 1 1 -38.1016667 -4.8380555 272 100 80 606
"19" 3 1 -47.8777778 -15.9463889 208 114 71 1091
"20" 2 1 -42.8422222 -22.8966666 230 83 55 2089
"21" 2 1 -36.2986111 -10.0266667 244 79 69 1290
"22" 2 1 -36.4938889 -10.3280556 249 83 68 1405
"23" 3 1 -35.2394444 -5.8369444 257 89 74 1051
"25" 1 1 -35.3527778 -6.3291667 254 95 74 1209
"28" 1 1 -35.1941666 -5.8419444 257 89 74 1051
"29" 1 1 -35.2991666 -5.4694445 260 83 74 1047
"30" 3 1 -35.135 -5.8491666 258 84 73 1075
"31" 1 1 -35.2008333 -5.8425 257 89 74 1051
"35" 1 1 -42.9888889 -22.8263889 232 87 56 2168
"36" 3 1 -36.2736111 -10.0477777 244 79 69 1290
"37" 3 1 -40.1511111 -19.6752778 245 87 60 1748
"38" 2 1 -39.5522222 -14.2138889 236 68 65 1157
"40" 3 1 -43.1613889 -22.9638889 231 82 56 2062
"41" 1 1 -38.0161111 -12.5736111 246 75 66 1261
"42" 2 1 -40.68 -15.0605556 214 97 67 1458
"44" 2 1 -40.2616667 -19.6783334 244 91 61 1722
"47" 2 1 -40.1472222 -19.0569444 240 94 64 1578
"48" 2 1 -40.15 -19.6766667 245 87 60 1748
"49" 3 1 -40.2794445 -19.7244445 244 91 61 1722
"51" 1 1 -39.5672223 -15.7127778 230 82 66 1367
"52" 2 1 -39.4838889 -14.2730556 238 66 65 1076
"53" 2 1 -41.9605556 -22.8063889 229 68 56 1743
"55" 1 1 -40.2780556 -19.7291667 244 91 61 1722
"56" 3 1 -43.1627778 -22.9638889 231 82 56 2062
"59" 2 1 -43.0777778 -22.9180556 231 82 56 2062
"60" 3 1 -40.6780556 -15.0619444 214 97 67 1458
"61" 2 1 -43.1155556 -22.9402777 231 82 56 2062
"62" 3 1 -43.1166667 -22.9441666 231 82 56 2062
"63" 2 1 -42.5938889 -22.7516667 225 84 57 2011
"64" 1 1 -39.5525 -14.2133333 236 68 65 1157
"65" 1 1 -39.5794445 -16.9683334 244 87 67 1437
"66" 1 1 -42.4611111 -22.9286111 230 74 56 1869
"67" 3 1 -41.9827778 -22.8047222 229 68 56 1743
"69" 2 1 -35.2 -5.8166667 258 87 74 1054
"70" 1 1 -42.4613889 -22.9291667 230 74 56 1869
"73" 2 1 -39.7333333 -14.5666667 229 74 66 1199
"74" 3 1 -43.1861111 -22.9647222 224 82 56 2018
"75" 1 1 -41.9666667 -22.7166667 229 68 56 1743
"76" 3 1 -34.9502778 -8.0127778 256 64 69 982
"78" 1 1 -50.8666667 -11.7833333 275 120 74 821
"79" 2 1 -39.5777778 -15.6986111 230 82 66 1367
"80" 3 1 -39.25 -17.65 244 75 63 1358
"81" 3 1 -39.2022222 -16.4191667 241 78 66 1293
"82" 2 1 -36.2666667 -10.0333333 244 79 69 1290
"83" 1 1 -43.1630556 -22.9633333 231 82 56 2062
"84" 2 1 -47.8777778 -15.9472222 208 114 71 1091
"85" 1 1 -43.0875 -22.9444444 231 82 56 2062
"86" 3 1 -39.5433333 -15.1636111 235 75 64 1188
"90" 1 1 -35.135 -6.9602778 253 87 71 1162
"92" 2 1 -39.7333333 -14.65 229 74 66 1199
"1100" 1 0 -45.25 -10.4166666666667 244 145 70 946
"2100" 3 0 -55.4166666666667 -18.9166666666667 259 120 65 1929
"310" 1 0 -58.5833333333333 -23.5833333333333 236 131 57 3399
"410" 3 0 -50.25 -5.91666666666666 255 109 81 322
"510" 1 0 -36.4166666666667 -8.08333333333333 222 93 69 1540
"610" 3 0 -52.4166666666667 -15.9166666666667 248 133 67 1437
"710" 2 0 -39.75 -18.0833333333333 242 83 64 1478
"810" 1 0 -43.5833333333333 -15.25 245 119 70 1341
"9" 2 0 -55.75 -9.08333333333333 251 137 68 569
"1010" 2 0 -58.5833333333333 -14.9166666666667 236 134 72 1300
"1110" 1 0 -65.25 -7.58333333333333 263 102 77 392
"1210" 1 0 -58.9166666666667 -20.75 253 124 61 2795
"1310" 1 0 -44.25 -12.25 230 143 71 1076
