"group.all" "pa" "lon" "lat" "bio1" "bio2"
"1" 3 1 -49.0791667 -26.9055556 200 92
"2" 3 1 -67.705 -10.0247223 261 106
"3" 2 1 -39.5844444 -15.7388889 230 82
"4" 3 1 -39.6591667 -15.565 236 80
"5" 1 1 -38.9666667 -12.25 232 78
"6" 2 1 -39.6291667 -15.5641667 236 80
"7" 1 1 -43.1038889 -22.9508333 231 82
"8" 1 1 -51.7172223 -17.9230556 235 119
"10" 3 1 -39.5533333 -14.2125 236 68
"11" 1 1 -42.8425 -22.8969444 230 83
"12" 3 1 -39.6525 -15.5722223 236 80
"13" 3 1 -41.2911111 -21.7619444 234 92
"18" 1 1 -38.1016667 -4.8380555 272 100
"19" 3 1 -47.8777778 -15.9463889 208 114
"20" 2 1 -42.8422222 -22.8966666 230 83
"21" 2 1 -36.2986111 -10.0266667 244 79
"22" 2 1 -36.4938889 -10.3280556 249 83
"23" 3 1 -35.2394444 -5.8369444 257 89
"25" 1 1 -35.3527778 -6.3291667 254 95
"28" 1 1 -35.1941666 -5.8419444 257 89
"29" 1 1 -35.2991666 -5.4694445 260 83
"30" 3 1 -35.135 -5.8491666 258 84
"31" 1 1 -35.2008333 -5.8425 257 89
"35" 1 1 -42.9888889 -22.8263889 232 87
"36" 3 1 -36.2736111 -10.0477777 244 79
"37" 3 1 -40.1511111 -19.6752778 245 87
"38" 2 1 -39.5522222 -14.2138889 236 68
"40" 3 1 -43.1613889 -22.9638889 231 82
"41" 1 1 -38.0161111 -12.5736111 246 75
"42" 2 1 -40.68 -15.0605556 214 97
"44" 2 1 -40.2616667 -19.6783334 244 91
"47" 2 1 -40.1472222 -19.0569444 240 94
"48" 2 1 -40.15 -19.6766667 245 87
"49" 3 1 -40.2794445 -19.7244445 244 91
"51" 1 1 -39.5672223 -15.7127778 230 82
"52" 2 1 -39.4838889 -14.2730556 238 66
"53" 2 1 -41.9605556 -22.8063889 229 68
"55" 1 1 -40.2780556 -19.7291667 244 91
